municipality,year,33,11,6,3,24,15,12,25,4,30,41,29,20,39,31,target,target_increase,prev_count
Manicoré,2012,765055,551713,5065915,44486389,10772,970115,2510100,1861.0,21364.0,,67.0,5739.0,,,,1,0,248.0
Tabatinga,2012,113452,15286,979988,2517488,14931,11327,2198,,,,,,,,,1,0,10.0
Anori,2012,754038,259270,3622726,2104339,2012,17603,9462,6.0,,,,,,,,1,0,9.0
Apuí,2012,282289,17916,1532962,57681918,5240,1600403,58720,96.0,34801.0,,54.0,4162.0,,,,1,1,216.0
Novo Airão,2012,1253188,204877,7742674,33018341,4163,32201,1588,,45.0,,18.0,,,,,1,0,11.0
Envira,2012,72202,10634,452713,7764765,3963,162824,741,,,,,,,,,1,0,67.0
Atalaia do Norte,2012,384587,2056,5160047,79767389,2971,12544,527,,,,,,,,,1,0,20.0
Itapiranga,2012,243153,88422,245546,4220343,1686,51869,2574,51.0,,,8.0,,,,,1,0,12.0
Novo Aripuanã,2012,776083,179940,3183241,40807684,4544,501564,891969,1795.0,14521.0,10003.0,,15890.0,,,,1,0,124.0
Fonte Boa,2012,737783,177240,8535606,4112938,3378,19483,23921,,52.0,,,,,,,1,0,12.0
Maués,2012,1290808,321677,1914502,41010881,5706,320794,19837,53.0,15706.0,5691.0,68.0,75.0,,,,1,0,102.0
Coari,2012,2715085,579344,9397385,52270162,11728,55932,11545,,,,,,,,,1,0,44.0
Manacapuru,2012,1554988,511683,2524473,3278015,14734,302625,33391,7.0,,,16.0,,,,,1,0,93.0
Manaquiri,2012,318427,180736,1310707,2527423,1261,104674,10641,,32.0,,,,,,,1,0,21.0
São Gabriel da Cachoeira,2012,1480465,411652,20213572,98530754,9346,8365,44461,36.0,13.0,148.0,,,,,,1,0,60.0
Caapiranga,2012,296093,153666,1231381,8806484,1369,70395,32516,1.0,,,,,,,,1,0,12.0
Borba,2012,1720691,454633,5489938,41735933,4178,116048,143937,21.0,312.0,,,,,,,1,0,84.0
Urucará,2012,713504,174683,1534656,28639676,3179,135058,4883,,6.0,29549.0,107.0,92.0,,,,1,0,22.0
Manaus,2012,1628978,93777,633599,9849843,273382,270163,5889,897.0,19.0,7522.0,268.0,,2015.0,,,1,1,26.0
Codajás,2012,1511715,462294,6135720,12813219,2455,20547,7513,,,,,,,,,1,0,11.0
São Paulo de Olivença,2012,638572,56041,3943247,17385202,10280,21733,3338,,,,,,,,,1,0,9.0
Alvarães,2012,194748,30766,469487,5921273,1234,19955,1383,14.0,5.0,,,,,,,1,0,25.0
Canutama,2012,331944,163915,5897721,30130145,2460,829849,556976,8.0,18577.0,,1820.0,,,376.0,,1,0,219.0
Amaturá,2012,300381,28003,2050137,2934344,3251,9820,1234,,,,,,,,,1,0,7.0
São Sebastião do Uatumã,2012,534258,96888,639490,10521353,2923,115977,6064,175.0,9.0,,25.0,,,,,1,0,30.0
Nova Olinda do Norte,2012,459716,139715,982528,4565335,2864,95629,8766,,42.0,,,,,,,1,0,41.0
Iranduba,2012,347086,114622,363371,1465761,18135,173600,649,,8.0,,41.0,,,,,1,0,42.0
Carauari,2012,419990,69890,5490154,22876967,3865,86780,1403,32.0,85.0,,,,,,,1,1,5.0
Jutaí,2012,1189519,150780,9784958,66783669,2249,43988,11433,5.0,466.0,,,,,,,1,0,32.0
Santa Isabel do Rio Negro,2012,756721,491507,14349992,54467113,3023,19471,95509,24.0,128.0,,,3420.0,,,,1,0,22.0
Beruri,2012,1027689,288537,4560431,13664764,1693,60258,3593,8.0,21.0,,,,,,,1,0,27.0
Benjamin Constant,2012,188193,12915,884024,8636672,11097,12484,317,,,,,,,,,1,0,13.0
Itamarati,2012,290781,43284,2737217,25339747,1606,31323,967,,,,,,,,,1,0,16.0
Tapauá,2012,1384098,774783,14797005,78517079,1809,70916,3731,21.0,123.0,,,,,,,1,0,45.0
Boa Vista do Ramos,2012,427748,279841,754206,1347445,1589,83949,5992,5.0,,,86.0,,,,,1,0,19.0
Lábrea,2012,514122,333192,6156147,65764128,7264,3367568,980157,418.0,10545.0,3402.0,766.0,2452.0,,,,1,0,416.0
Careiro,2012,323676,270147,1723260,4054286,3465,432222,26301,12.0,121.0,184.0,2.0,,,,,1,0,51.0
Maraã,2012,1597506,862758,10100366,6243228,1531,14771,23986,,,,,,,,,1,0,9.0
Nhamundá,2012,1096689,324091,579429,13595171,1136,154506,5884,294.0,159.0,,90.0,,,,,1,0,47.0
Anamã,2012,190516,65392,684699,1782005,508,10138,7971,,,,,,,,,1,0,11.0
Itacoatiara,2012,1909310,577690,2019283,4870953,20071,509895,52713,276.0,,1217.0,86.0,,,,,1,0,148.0
Careiro da Várzea,2013,728939,522157,847395,586440,682,223235,34908,,,,,,,,,1,0,29.0
Boca do Acre,2013,157266,50420,691628,21642721,4901,1764919,6753,353.0,1845.0,,,,,,,1,0,378.0
Tefé,2013,740189,89073,1968773,23720230,8608,54077,1325,,392.0,,,,,,,1,0,35.0
Uarini,2013,563131,69958,3346105,7506950,2031,11767,11619,,,,,,,,,1,0,25.0
Guajará,2013,50102,10368,1187410,6913952,3945,381806,1334,,,,,,,,,1,0,45.0
Autazes,2013,1256746,407799,1496705,4751603,8036,594580,63128,5.0,146.0,,,,,,,1,0,128.0
